326,23,140
306,7,440
595,203,1647
156,11,1230
342,1,950
4105,9,800
1739,20,1291
4789,14,1465
1212,54,2094
1259,16,89
3541,1,106
829,21,675
6537,23,4082
6589,002R,681
1049,27,2761
243,43,840
268,8,220
3621,97,3707
472,42,1307
2659,1,263
1176,68,1624
6529,10,3410
74,43,2150
941,12,2824
542,39,1
1824,6,1435
1449,6,331
1193,24,120
1851,12,1512
326,1,165
182,4,1441
3580,17,3830
3610,41,563
3749,47,76
3545,018A,1810
749,006A,1445
6551,23,1383
6597,24,681
1572,17,606
177,22,655
490,2,3325
1609,021F,700
1429,10,249
605,28,2379
7151,14,247
540,2,2843
959,29,2615
6780,34,252
5934,20,938
1558,9,535
797,22,896
1095,5,2425
24,011C,2718
1431,28,264
299,19,861
8702,611,274
6165,13,66
2038A,26,1730
3763,22,483
640,29,1809
991,49,3953
249,23,1571
3590,13,3320
1252,42,718
6969,1,5050
4024,3,624
5666,10,156
912,002A,1856
1744,39,1241
2417,7,2563
187,1,1455
327,18,165
1676,001H,835
473,7,1304
3728,8,1202
1212,70,215
510,13,2250
642,87,1700
4097,045A,737
3995,22,595
993,12,3778
185,13,1446
2611,42,2
4991,85,250
474,36,1111
1041,16,590
3654,19,3998
0442A,15,50
3542,41,2100
1419,29,274
719,2,901
5900A,25,801
3509,29,63
1226,19,418
3105A,5,235
3780,1,502
2402,33,2411
6404,17,1201
4700,43,1004
3786,322,505
1289,20,1591
1497,016E,583
252,4,1005
5704,27,437
6580,36,4041
7241,32,291
856,23,115
4991,126,830
105,25,1402
3787,33,427
85,026A,1460
3794,15,101
2679,18,283
4272,34,3023
3555,63,474
3707,16,90
5853,15,194
181,20,1086
175,6,412
327,25,1
320,4,531
6654,1,353
3635,5,1138
3738,11,301
328,1,768
4150,21,1061
534,37,3022
252,4,1005
6509,35,3845
3537,33,81
4015,3,2650
3044,9,40
3708,28,71
3606,85,240
696,35,1388
295,8,450
3521,5,340
6562,54,4270
3629,45,1023
1859A,011A,48
3760,131,70
97,18,1178
297,28,515
8721,32,455
3733,161,320
2829,23,859
821,73,843
672,2,1415
579,2,2535
219,24,1415
8707,72,325
3640,58,3045
1939,2,60
3541,83,69
2756,24,445
27,36,708
3635,14,1198
805,7,700
1220,11,1256
6728,5,18
182,4,1441
3516,18,1582
6521,30,2857
3582,85,429
1193,48,2150
4653,20,907
1176,4,631
65,26,720
7231,001A,77
2007,003C,1735
1418,28,274
947,30,2725
3603,87,4127
3525,56,1190
4217,16,1285
3577,036A,3487
3794,3,800
5428C,4,12
1510,31,566
3206,27,43
1639,33,658
1538,22,480
649,16,1969
918,003D,2265
1747,13,236
6505,7,838
2714,44,112
3609,98,376
762,263,601
177,22,655
3568,73,119
2851,4,297
2658,45,3051
1094,1,2675
1151,20,810
993,1,3701
2629,21,1110
3775,64,140
5467,11,3061
3508,1,1355
821,73,843
1370,45,104
472,27,3350
2623,228,4068
150,4,1629
3728,86,1298
645,19,1547
1220,2,133
154,4,1637
540,12,2188
11,7,2800
5285A,5,2177
3517,34,1415
3147,30,4534
3763,116,88
1629,39,606
6506,11,416
196,27,415
514,11,2330
4991,540,301
3640,58,3045
240,16,550
4228,89,1325
5646,2,106
3602,36,225
317,3,405
1225,27,410
1530,27,414
6575,5,3555
2768,19,4016
156,015A,151
1243,30,1375
3609,33,953
1379,34,100
1923,23,1662
5808,13,21
3587,056B,72
826,28,979
1184,27,1571
5520,32,26
4102,58,547
581,11,2398
826,18,949
1417,021B,262
0222A,52,1170
842,3,333
2772,38,531
6516,24,3333
189,21,1125
1688,10,851
2779,1,800
499,002B,1320
0436C,38,3770
945,7,2516
1454,022F,396
4103,105,577
7104,40,139
528,19,1645
1288,27,4958
3558,130,3440
6636,23,33
0252C,2,1201
513,009C,2456
5924,24,2400
2199,4,2177
181,4,1351
4148,21,2655
1524,2,419
3584,034A,595
1270,31,858
1841,4,1431
6531,24,329
2623,030A,4136
3702,390,33
5384C,009B,91
6729,55,2685
1465,1,405
1254,65,36
651,65,2062
5519,41,90
0638A,1,2241
7259,5,27
1225,26,424
1637,26,646
3604,86,4021
301,9,930
5712,1,2
39,9,212
1222,34,1519
1731,47,1845
575,6,1740
212,26,1152
3598,70,3631
3532,50,54
3513,77,1316
551,14,1640
177,18,1056
2929,31,1135
1381,28,148
624,007A,1980
6552,2,1360
2648,23,85
1845,50,1470
1587,32,634
156,44,1656
6619,32,386
1242,1,969
3803,5,185
2617,63,984
633,001E,2648
489,34,2241
3753,175,260
6580,17,450
1449,40,1623
1520,26,550
3643,11,3324
189,5,1200
1599,035A,722
1822,34,2609
3629,3,106
6506,32,4171
498,5,2835
6664,25,147
307,8,420
1255,77,1333
2199,004C,2163
6664,72,283
6571,21,1101
3642,19,3266
3768,22,38
1200,4,515
2307,36,2230
2658,45,3049
3514,51,140
6246,8,226
3564,75,3874
826,16,925
6735,32,1167
5517,54,3
1432,12,363
154,34,19
2753,4,472
516,23,2181
979,11,2810
3511,65,47
0443A,25,1725
1102,7,1219
6592,4,1518
5716,26,148
652,56,2211
3534,27,87
1055,5,2712
1248,18,622
1429,1,205
153,7,1725
7030,8,5196
5806,3,10
934,6,28
3561,001A,206
474,36,1111
3642,65,3219
1169,11,2386
1660,14,767
1138,22,152
744,20,885
6249,20,2442
3203,11,156
1939,1,1
599,28,2040
2714,004A,10
1654,22,3526
3506,8,49
133,16,440
3580,25,493
5718,1,625
150,16,1075
8706,266,201
2046,16,1885
6639,28,391
6722,21,53
2346,023A,2358
3578,115,75
151,35,45
6600,26,1559
5890,004A,275
2656,44,205
977,7,2834
3784,80,510
7552,22,65
3617,49,16
61,41,1725
961,17,2661
656,51,2550
4106,11,962
6504,29,55
559,024A,2754
605,19,2381
4270,6,1242
2503A,32,2732
6504,38,4321
208,28,655
585,16,2617
1560,25,594
151,87,1701
3784,80,510
6948,23,755
1615,2,719
1234,37,1315
349,4,44
2188,9,2135
159,6,1309
51,17,2350
1272,23,123
1877,38,1550
4206,59,1144
536,41,2927
1449,22,378
1451,001C,315
304,15,761
1230,18,540
3555,32,323
1481,001O,86
5650,29,117
4148,27,2621
3534,025C,72
14,1,93
4144,1,900
3534,6,136
1092,23,152
6683,17,210
3711,19,245
2630,18,1167
11,7,2800
3775,15,340
1636,46,700
2944A,006A,145
324,2,345
63,25,461
6616,27,1511
853,23,20
6501,61,20
3642,051A,873
640,29,1809
771,1,999
3545,97,1822
1208,52,1761
4591C,147,41
3085,13,280
4022,22,685
95,31,2125
0467A,20,3433
629,23,2244
552,17,2550
559,9,2807
3953,2,88
3540,134,178
3775,5,2
3705,50,845
6633,11,118
125,107,1845
6520,14,2886
1530,28,410
952,22,2567
5549,94,186
5286A,21,2241
